Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,150.31,132.56,17.75,0,124.72,379.69,859.89
2,149.15,133.58,15.57,0,135.79,365.3,543.46
3,150.91,135.11,15.8,0,136.85,405.84,784.98
4,146.95,130.98,15.97,0,135.24,399.42,703.91
5,151.71,136.02,15.69,0,145.43,493.22,806.79
6,151.99,135.67,16.32,0,136.81,422.03,920.92
7,162.29,145.9,16.39,0,150.12,389.31,480.43
8,180.64,164.37,16.27,0,160.6,416.01,334.77
9,183.2,166.99,16.21,0,161.04,423.85,330.93
10,189.93,175.16,14.78,0,171.18,457.09,152.15
11,195.8,179.53,16.27,0,172.23,450.57,362.83
12,200.05,184.83,15.23,0,174.9,463.14,323.79
Total,2012.93,1820.7,192.25,0,1804.91,5065.47,6604.85
