Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,63.8,30.27,33.52,0,40.79,379.69,859.89
2,74.6,45.17,29.42,0,68.35,365.3,543.46
3,64.07,40.7,23.38,0,60.57,405.84,784.98
4,74.46,42.6,31.86,0,60.87,399.42,703.91
5,58.73,29.56,29.16,0,53.91,493.22,806.79
6,57.94,27.86,30.08,0,41.95,422.03,920.92
7,87.22,57.1,30.12,0,75.98,389.31,480.43
8,109.37,80.93,28.44,0,113.8,416.01,334.77
9,122.12,92.23,29.89,0,123.3,423.85,330.93
10,171.88,143.44,28.44,0,172.35,457.09,152.15
11,115.33,87.14,28.19,0,113.0,450.57,362.83
12,128.49,100.59,27.9,0,127.18,463.14,323.79
Total,1128.01,777.59,350.4,0,1052.05,5065.47,6604.85
