Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,125.96,110.35,15.61,0,133.75,495.54,111.2
2,99.85,82.23,17.62,0,104.8,485.47,270.12
3,87.19,69.56,17.63,0,89.82,442.95,282.98
4,54.96,35.78,19.18,0,51.64,398.37,582.2
5,88.73,67.71,21.02,0,87.63,377.75,290.75
6,60.4,42.86,17.54,0,60.03,328.19,448.16
7,37.44,22.36,15.08,0,32.98,273.47,355.35
8,47.07,28.38,18.7,0,41.73,323.86,506.06
9,51.2,32.47,18.73,0,43.67,316.04,503.55
10,47.91,32.96,14.95,0,47.05,340.19,367.2
11,72.8,55.35,17.45,0,79.14,340.81,215.07
12,92.94,75.99,16.95,0,103.07,427.73,187.39
Total,866.45,656.0,210.46,0,875.31,4550.37,4120.03
