Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,187.08,169.77,17.31,0,164.99,495.54,111.2
2,171.54,149.79,21.75,0,149.34,485.47,270.12
3,138.36,117.06,21.3,0,123.58,442.95,282.98
4,85.28,56.72,28.57,0,62.44,398.37,582.2
5,126.81,104.48,22.33,0,105.07,377.75,290.75
6,108.59,82.37,26.22,0,85.48,328.19,448.16
7,97.25,72.46,24.79,0,76.09,273.47,355.35
8,94.69,67.36,27.34,0,71.17,323.86,506.06
9,96.49,69.71,26.78,0,69.11,316.04,503.55
10,103.6,79.25,24.35,0,81.16,340.19,367.2
11,123.1,103.28,19.82,0,112.04,340.81,215.07
12,167.86,146.48,21.38,0,151.38,427.73,187.39
Total,1500.65,1218.73,281.94,0,1251.85,4550.37,4120.03
