Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,102.19,79.58,22.61,0,81.66,232.34,270.55
2,83.88,57.28,26.6,0,65.73,228.76,481.26
3,80.64,54.99,25.65,0,61.32,209.21,346.03
4,67.91,40.65,27.26,0,45.52,213.75,501.91
5,72.19,44.76,27.44,0,47.45,232.91,489.26
6,85.57,56.97,28.61,0,64.49,219.5,387.6
7,111.5,88.98,22.52,0,96.31,243.45,216.26
8,116.85,96.15,20.7,0,106.24,260.34,183.51
9,139.29,118.43,20.86,0,132.74,275.82,122.73
10,115.99,97.15,18.84,0,109.44,280.16,162.05
11,110.54,87.86,22.68,0,100.02,276.2,227.09
12,116.35,96.31,20.04,0,105.79,279.07,186.37
Total,1202.9,919.11,283.81,0,1016.71,2951.51,3574.62
