Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,88.27,60.86,27.41,0,84.45,232.34,270.55
2,64.15,37.28,26.87,0,62.6,228.76,481.26
3,57.49,34.18,23.31,0,55.88,209.21,346.03
4,58.78,31.05,27.73,0,53.87,213.75,501.91
5,64.92,36.62,28.3,0,48.77,232.91,489.26
6,43.87,22.66,21.21,0,40.77,219.5,387.6
7,94.25,67.28,26.97,0,100.25,243.45,216.26
8,96.56,70.87,25.69,0,109.68,260.34,183.51
9,106.71,80.65,26.06,0,124.47,275.82,122.73
10,100.69,77.31,23.38,0,112.99,280.16,162.05
11,92.4,66.95,25.46,0,101.84,276.2,227.09
12,106.04,80.79,25.25,0,110.27,279.07,186.37
Total,974.13,666.5,307.64,0,1005.84,2951.51,3574.62
