Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,130.06,103.52,26.54,0,96.47,232.34,270.55
2,85.6,58.78,26.81,0,64.66,228.76,481.26
3,70.84,46.5,24.34,0,52.54,209.21,346.03
4,68.9,41.12,27.79,0,44.4,213.75,501.91
5,79.19,50.02,29.17,0,48.68,232.91,489.26
6,82.27,55.4,26.88,0,52.36,219.5,387.6
7,108.03,86.89,21.15,0,86.73,243.45,216.26
8,140.4,118.61,21.8,0,111.64,260.34,183.51
9,145.29,126.49,18.8,0,120.51,275.82,122.73
10,135.06,115.59,19.47,0,114.01,280.16,162.05
11,115.75,93.6,22.14,0,99.76,276.2,227.09
12,138.31,117.23,21.08,0,108.46,279.07,186.37
Total,1299.7,1013.75,285.97,0,1000.22,2951.51,3574.62
