Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,96.19,77.07,19.12,0,91.7,232.34,270.55
2,64.55,45.95,18.6,0,65.32,228.76,481.26
3,71.19,51.62,19.57,0,65.81,209.21,346.03
4,62.5,42.25,20.25,0,55.46,213.75,501.91
5,64.98,43.32,21.66,0,61.32,232.91,489.26
6,74.25,55.48,18.77,0,73.26,219.5,387.6
7,88.97,71.7,17.27,0,87.07,243.45,216.26
8,98.97,80.6,18.36,0,106.29,260.34,183.51
9,114.26,96.96,17.3,0,119.07,275.82,122.73
10,114.74,96.83,17.91,0,117.27,280.16,162.05
11,102.04,83.75,18.29,0,100.98,276.2,227.09
12,103.8,84.47,19.33,0,115.01,279.07,186.37
Total,1056.44,830.0,226.43,0,1058.56,2951.51,3574.62
