Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,143.69,118.7,24.99,0,151.11,294.79,31.26
2,115.88,93.68,22.2,0,131.61,284.76,57.16
3,126.64,102.79,23.85,0,137.85,283.52,67.58
4,86.92,65.07,21.84,0,105.58,251.69,148.38
5,117.47,91.89,25.57,0,133.92,244.76,77.7
6,110.37,85.26,25.12,0,126.15,237.76,116.55
7,104.77,80.82,23.95,0,123.23,228.2,91.02
8,106.86,81.69,25.18,0,124.57,225.76,105.52
9,104.79,81.05,23.74,0,120.41,209.29,97.32
10,91.89,69.15,22.74,0,107.74,216.03,131.25
11,110.62,87.72,22.9,0,124.86,231.46,53.27
12,132.27,106.57,25.7,0,142.61,246.47,47.02
Total,1352.17,1064.39,287.78,0,1529.64,2954.49,1024.03
