Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,151.31,133.08,18.23,1,147.79,294.79,31.26
2,143.65,125.74,17.9,0,144.38,284.76,57.16
3,131.15,114.35,16.8,0,127.15,283.52,67.58
4,125.06,105.83,19.24,0,121.3,251.69,148.38
5,150.41,129.19,21.22,0,145.4,244.76,77.7
6,120.2,101.68,18.52,0,114.59,237.76,116.55
7,121.07,103.51,17.56,0,117.57,228.2,91.02
8,109.34,93.31,16.04,0,105.29,225.76,105.52
9,131.1,110.55,20.55,0,122.62,209.29,97.32
10,111.26,92.81,18.45,0,107.73,216.03,131.25
11,123.65,107.76,15.89,0,121.48,231.46,53.27
12,131.92,114.67,17.25,0,129.79,246.47,47.02
Total,1550.12,1332.48,217.65,1,1505.09,2954.49,1024.03
