Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,234.99,209.56,25.43,0,181.02,294.79,31.26
2,230.98,204.44,26.53,0,194.47,284.76,57.16
3,212.48,186.84,25.63,0,186.06,283.52,67.58
4,174.4,150.39,24.02,0,148.52,251.69,148.38
5,191.87,167.05,24.82,0,168.46,244.76,77.7
6,185.38,158.38,27.0,0,169.62,237.76,116.55
7,183.93,159.18,24.75,0,160.87,228.2,91.02
8,178.79,155.41,23.38,0,150.56,225.76,105.52
9,155.79,134.26,21.53,0,137.73,209.29,97.32
10,184.12,159.16,24.96,0,149.43,216.03,131.25
11,211.0,184.36,26.64,0,180.64,231.46,53.27
12,206.58,182.44,24.14,0,174.51,246.47,47.02
Total,2350.31,2051.47,298.83,0,2001.89,2954.49,1024.03
