Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,183.14,164.81,18.33,0,148.33,294.79,31.26
2,151.24,135.19,16.05,0,137.94,284.76,57.16
3,157.8,140.89,16.91,0,138.74,283.52,67.58
4,133.78,114.95,18.83,0,118.89,251.69,148.38
5,151.07,132.93,18.15,0,132.32,244.76,77.7
6,146.55,127.73,18.82,0,126.23,237.76,116.55
7,148.99,130.29,18.7,0,128.14,228.2,91.02
8,144.23,125.11,19.13,0,126.01,225.76,105.52
9,118.71,103.65,15.05,0,103.5,209.29,97.32
10,117.09,100.75,16.34,0,101.97,216.03,131.25
11,133.93,119.74,14.18,0,114.06,231.46,53.27
12,165.39,147.63,17.76,0,139.66,246.47,47.02
Total,1751.92,1543.67,208.25,0,1515.79,2954.49,1024.03
