Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,92.86,78.9,13.96,0,98.73,294.79,31.26
2,92.42,76.38,16.04,0,102.87,284.76,57.16
3,80.85,67.21,13.64,0,88.89,283.52,67.58
4,67.57,52.32,15.25,0,74.35,251.69,148.38
5,83.82,66.89,16.93,0,94.32,244.76,77.7
6,70.31,54.88,15.42,0,77.56,237.76,116.55
7,80.76,64.13,16.63,0,87.52,228.2,91.02
8,68.66,53.43,15.22,0,77.06,225.76,105.52
9,68.17,54.41,13.75,0,72.67,209.29,97.32
10,61.88,47.38,14.5,0,68.13,216.03,131.25
11,64.6,52.17,12.43,0,77.28,231.46,53.27
12,88.17,71.89,16.28,0,94.29,246.47,47.02
Total,920.07,739.99,180.05,0,1013.67,2954.49,1024.03
