Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,75.25,47.25,27.99,0,60.39,360.28,1023.06
2,82.24,54.42,27.82,0,71.11,359.84,524.4
3,81.27,53.93,27.35,0,70.08,317.65,825.12
4,83.67,56.26,27.41,0,69.67,329.84,628.02
5,55.91,30.02,25.89,0,44.17,246.61,802.0
6,53.12,28.73,24.39,0,39.47,265.55,652.57
7,50.94,26.74,24.19,0,36.19,275.59,890.85
8,96.34,66.72,29.61,0,92.38,336.99,392.96
9,115.71,88.2,27.52,0,108.54,384.96,348.41
10,129.16,101.11,28.05,0,129.01,392.29,268.17
11,125.41,95.74,29.67,0,131.58,342.28,213.84
12,117.95,89.25,28.7,0,118.85,419.11,367.95
Total,1066.97,738.37,328.59,0,971.44,4030.99,6937.35
