Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,77.36,55.27,22.09,0,65.25,360.28,1023.06
2,95.13,75.48,19.65,0,96.57,359.84,524.4
3,91.08,70.28,20.79,0,83.59,317.65,825.12
4,86.08,66.44,19.64,0,77.76,329.84,628.02
5,62.04,41.49,20.55,0,57.52,246.61,802.0
6,65.96,45.06,20.9,0,60.43,265.55,652.57
7,55.76,37.16,18.6,0,50.54,275.59,890.85
8,104.7,82.33,22.37,0,112.7,336.99,392.96
9,118.78,98.57,20.21,0,119.58,384.96,348.41
10,133.92,114.58,19.34,0,135.76,392.29,268.17
11,118.46,99.54,18.92,0,125.53,342.28,213.84
12,133.06,113.75,19.31,0,133.27,419.11,367.95
Total,1142.33,899.95,242.37,0,1118.5,4030.99,6937.35
