Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,60.68,46.57,14.11,0,66.57,227.75,136.52
2,70.66,55.26,15.4,0,80.84,218.6,89.46
3,48.63,35.96,12.67,0,62.98,213.73,121.38
4,64.57,50.88,13.69,0,78.23,232.65,76.39
5,57.13,42.87,14.26,0,72.77,222.37,113.94
6,57.47,43.69,13.78,0,72.51,216.53,96.74
7,54.63,40.44,14.19,0,68.62,217.32,130.56
8,80.93,65.18,15.75,0,88.73,235.82,59.25
9,84.75,69.69,15.06,0,97.19,262.05,50.5
10,84.92,70.91,14.01,0,98.21,279.3,44.29
11,91.76,78.95,12.8,0,102.69,309.62,20.67
12,78.19,65.03,13.16,0,89.24,264.11,59.91
Total,834.32,665.43,168.88,0,978.58,2899.85,999.61
