Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,131.02,111.76,19.26,0,107.72,227.75,136.52
2,135.07,116.77,18.3,0,123.27,218.6,89.46
3,121.6,105.01,16.58,0,103.72,213.73,121.38
4,142.09,125.19,16.9,0,122.72,232.65,76.39
5,136.72,118.63,18.09,0,117.08,222.37,113.94
6,108.22,94.28,13.94,0,98.22,216.53,96.74
7,130.54,112.53,18.0,0,109.06,217.32,130.56
8,155.47,137.87,17.6,0,132.11,235.82,59.25
9,141.14,127.86,13.28,0,119.91,262.05,50.5
10,173.42,156.96,16.46,0,142.03,279.3,44.29
11,188.6,170.21,18.39,0,165.55,309.62,20.67
12,159.14,142.39,16.75,0,136.36,264.11,59.91
Total,1723.03,1519.46,203.55,0,1477.75,2899.85,999.61
