Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,133.68,101.52,32.16,0,151.36,227.75,136.52
2,147.76,114.61,33.15,0,165.06,218.6,89.46
3,126.7,94.97,31.74,0,150.2,213.73,121.38
4,131.48,101.34,30.13,0,158.8,232.65,76.39
5,141.49,108.69,32.8,0,161.15,222.37,113.94
6,126.43,96.29,30.14,1,153.13,216.53,96.74
7,121.43,92.92,28.51,0,139.69,217.32,130.56
8,139.75,108.76,30.99,0,163.99,235.82,59.25
9,142.43,114.97,27.46,0,165.27,262.05,50.5
10,161.91,131.97,29.94,0,179.66,279.3,44.29
11,188.73,155.97,32.76,0,201.3,309.62,20.67
12,153.23,122.9,30.32,0,173.55,264.11,59.91
Total,1715.02,1344.91,370.1,1,1963.16,2899.85,999.61
