Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,94.21,71.33,22.88,0,104.64,227.75,136.52
2,85.56,65.32,20.24,0,103.0,218.6,89.46
3,95.68,72.03,23.64,0,109.87,213.73,121.38
4,112.07,88.73,23.34,0,126.08,232.65,76.39
5,91.18,69.17,22.01,0,108.89,222.37,113.94
6,102.52,77.79,24.73,0,122.57,216.53,96.74
7,88.6,65.43,23.18,0,107.73,217.32,130.56
8,109.63,86.45,23.17,0,127.37,235.82,59.25
9,108.92,88.07,20.86,0,126.69,262.05,50.5
10,117.8,97.22,20.57,0,132.32,279.3,44.29
11,124.28,104.82,19.46,0,134.71,309.62,20.67
12,125.04,100.94,24.1,0,142.93,264.11,59.91
Total,1255.49,987.3,268.18,0,1446.8,2899.85,999.61
