Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,58.42,29.76,28.66,0,47.51,232.34,473.46
2,48.17,21.65,26.51,0,36.98,228.76,842.21
3,34.17,11.07,23.09,0,22.51,209.21,605.56
4,40.84,12.55,28.29,0,20.02,213.75,878.35
5,40.96,13.3,27.66,0,20.4,232.91,856.21
6,43.08,17.01,26.07,0,25.16,219.5,678.31
7,60.77,36.65,24.12,0,52.36,243.45,378.46
8,89.7,61.7,27.99,0,82.55,260.34,321.15
9,99.72,73.28,26.44,0,103.02,275.82,214.77
10,94.97,68.37,26.6,0,90.03,280.16,283.58
11,82.3,52.57,29.73,0,79.47,276.2,397.41
12,81.83,54.13,27.7,0,81.55,279.07,326.15
Total,774.93,452.04,322.86,0,661.56,2951.51,6255.62
