Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,67.89,39.79,28.09,0,55.37,258.78,517.8
2,64.98,39.04,25.94,0,51.39,300.73,783.05
3,49.18,22.93,26.25,0,33.77,234.1,601.36
4,37.06,12.33,24.72,0,16.98,238.69,868.48
5,44.79,17.65,27.15,0,21.78,245.2,977.84
6,45.73,19.89,25.84,0,27.17,234.18,567.66
7,97.51,70.48,27.03,0,94.48,355.08,327.63
8,177.73,147.59,30.14,0,188.56,678.23,324.17
9,143.96,117.7,26.26,0,156.24,426.82,157.0
10,142.36,114.56,27.8,0,153.9,551.51,298.87
11,116.26,87.24,29.02,0,128.56,536.72,427.22
12,123.68,93.42,30.25,0,131.05,503.75,377.6
Total,1111.13,782.62,328.49,0,1059.25,4563.79,6228.68
