Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,113.54,80.87,32.67,0,74.22,258.78,517.8
2,98.71,70.53,28.18,0,64.67,300.73,783.05
3,69.01,36.79,32.22,0,39.9,234.1,601.36
4,58.85,24.6,34.25,0,23.84,238.69,868.48
5,61.7,26.17,35.53,0,26.01,245.2,977.84
6,57.66,27.25,30.41,0,26.67,234.18,567.66
7,112.63,89.88,22.75,0,85.21,355.08,327.63
8,196.98,173.39,23.59,0,175.83,678.23,324.17
9,174.88,154.73,20.15,0,148.78,426.82,157.0
10,167.36,143.14,24.22,0,156.01,551.51,298.87
11,156.8,128.93,27.87,0,138.67,536.72,427.22
12,144.45,119.3,25.15,0,132.97,503.75,377.6
Total,1412.57,1075.58,336.99,0,1092.78,4563.79,6228.68
