Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,50.46,22.05,28.42,0,30.81,227.75,955.63
2,36.42,11.62,24.8,0,18.9,218.6,626.21
3,49.4,24.37,25.04,0,34.47,213.73,849.69
4,39.44,17.36,22.08,0,31.35,232.65,534.72
5,50.16,20.26,29.9,0,35.58,222.37,797.61
6,34.48,8.55,25.93,0,17.4,216.53,677.15
7,29.63,8.21,21.42,0,13.67,217.32,913.89
8,53.81,29.65,24.16,0,47.45,235.82,414.75
9,76.44,49.42,27.02,0,66.4,262.05,353.5
10,92.66,67.48,25.19,0,79.76,279.3,310.02
11,124.95,99.32,25.63,0,128.74,309.62,144.67
12,69.94,42.94,27.01,0,65.35,264.11,419.34
Total,707.79,401.23,306.6,0,569.88,2899.85,6997.18
