Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,111.62,66.06,45.56,0,58.99,227.75,955.63
2,85.41,48.02,37.39,0,50.15,218.6,626.21
3,105.45,69.41,36.04,0,64.53,213.73,849.69
4,110.57,75.37,35.21,0,72.85,232.65,534.72
5,100.94,61.79,39.15,0,60.56,222.37,797.61
6,79.37,38.57,40.79,0,41.24,216.53,677.15
7,72.6,33.04,39.55,0,35.61,217.32,913.89
8,133.01,99.17,33.83,0,89.3,235.82,414.75
9,127.19,97.76,29.43,0,94.85,262.05,353.5
10,178.57,144.35,34.21,0,137.65,279.3,310.02
11,187.68,163.01,24.66,0,152.29,309.62,144.67
12,138.57,102.9,35.67,0,108.77,264.11,419.34
Total,1430.98,999.45,431.49,0,966.79,2899.85,6997.18
