Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,59.34,29.68,29.66,0,26.31,227.75,955.63
2,51.39,20.45,30.94,0,24.26,218.6,626.21
3,64.81,38.25,26.56,0,36.13,213.73,849.69
4,66.4,38.8,27.6,0,40.27,232.65,534.72
5,62.45,31.41,31.04,0,33.99,222.37,797.61
6,42.32,10.98,31.34,0,15.04,216.53,677.15
7,56.85,23.36,33.5,0,22.66,217.32,913.89
8,80.99,53.15,27.83,0,52.33,235.82,414.75
9,106.07,79.59,26.47,0,77.2,262.05,353.5
10,110.63,86.12,24.51,0,83.68,279.3,310.02
11,158.27,138.19,20.08,0,125.82,309.62,144.67
12,105.42,76.66,28.76,0,78.79,264.11,419.34
Total,964.94,626.64,338.29,0,616.48,2899.85,6997.18
