Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,128.2,110.67,17.53,0,104.66,227.75,955.63
2,120.13,105.82,14.31,0,102.07,218.6,626.21
3,105.37,91.01,14.36,0,94.29,213.73,849.69
4,126.37,110.26,16.11,0,108.84,232.65,534.72
5,111.71,95.45,16.26,0,103.29,222.37,797.61
6,110.85,94.76,16.09,0,99.87,216.53,677.15
7,113.33,98.3,15.03,0,95.48,217.32,913.89
8,138.49,121.2,17.29,0,123.96,235.82,414.75
9,155.94,138.88,17.06,0,135.26,262.05,353.5
10,139.26,124.92,14.34,0,120.49,279.3,310.02
11,164.44,149.04,15.41,0,144.43,309.62,144.67
12,145.27,128.57,16.7,0,126.59,264.11,419.34
Total,1559.36,1368.88,190.49,0,1359.23,2899.85,6997.18
