Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,103.15,92.91,10.24,0,84.54,232.34,67.64
2,71.85,63.08,8.77,0,64.49,228.76,120.32
3,82.05,71.8,10.25,0,76.94,209.21,86.51
4,70.99,61.48,9.51,0,62.46,213.75,125.48
5,75.79,66.44,9.35,0,66.53,232.91,122.32
6,87.1,76.44,10.66,0,78.15,219.5,96.9
7,98.18,89.62,8.56,0,86.47,243.45,54.07
8,108.36,98.59,9.77,0,100.68,260.34,45.88
9,111.71,103.37,8.34,0,98.27,275.82,30.68
10,106.11,98.36,7.75,0,95.63,280.16,40.51
11,97.43,89.25,8.18,0,91.43,276.2,56.77
12,102.51,95.09,7.42,0,91.37,279.07,46.59
Total,1115.23,1006.43,108.8,0,996.96,2951.51,893.67
