Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,111.07,87.73,23.34,0,123.92,232.34,67.64
2,75.56,56.44,19.11,0,93.74,228.76,120.32
3,106.97,82.17,24.8,0,123.94,209.21,86.51
4,96.78,72.75,24.02,0,114.73,213.75,125.48
5,100.46,75.91,24.55,0,118.95,232.91,122.32
6,88.79,67.11,21.68,0,112.18,219.5,96.9
7,103.92,82.63,21.29,0,122.73,243.45,54.07
8,122.94,98.9,24.04,0,140.02,260.34,45.88
9,130.19,106.06,24.14,0,148.76,275.82,30.68
10,123.45,101.18,22.26,0,138.3,280.16,40.51
11,125.33,101.24,24.09,0,142.8,276.2,56.77
12,135.09,110.36,24.73,0,148.98,279.07,46.59
Total,1320.55,1042.48,278.05,0,1529.05,2951.51,893.67
