Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,154.92,137.47,17.46,0,118.38,232.34,67.64
2,115.16,98.66,16.5,0,107.15,228.76,120.32
3,138.83,121.7,17.14,0,115.43,209.21,86.51
4,111.68,94.12,17.56,0,107.08,213.75,125.48
5,148.38,127.77,20.61,0,128.16,232.91,122.32
6,128.47,110.61,17.85,0,118.32,219.5,96.9
7,158.67,140.5,18.17,0,138.64,243.45,54.07
8,157.77,140.79,16.98,0,137.01,260.34,45.88
9,170.33,153.61,16.72,0,145.52,275.82,30.68
10,153.8,137.41,16.39,0,142.3,280.16,40.51
11,155.42,139.91,15.51,0,130.91,276.2,56.77
12,173.92,155.49,18.43,0,151.03,279.07,46.59
Total,1767.35,1558.04,209.32,0,1539.93,2951.51,893.67
