Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,140.32,121.19,19.13,0,126.29,232.34,67.64
2,121.42,102.83,18.59,0,117.41,228.76,120.32
3,114.6,98.21,16.39,0,110.8,209.21,86.51
4,110.97,93.39,17.57,0,105.81,213.75,125.48
5,125.07,106.14,18.93,0,118.39,232.91,122.32
6,118.2,100.89,17.31,0,114.55,219.5,96.9
7,123.89,108.63,15.26,0,122.39,243.45,54.07
8,137.9,121.05,16.84,0,137.07,260.34,45.88
9,150.8,133.01,17.79,0,150.76,275.82,30.68
10,131.84,117.06,14.79,0,134.61,280.16,40.51
11,137.54,120.79,16.75,0,136.42,276.2,56.77
12,149.49,131.51,17.98,0,148.61,279.07,46.59
Total,1562.04,1354.7,207.33,0,1523.11,2951.51,893.67
