Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,139.32,110.27,29.05,0,201.02,490.28,31.31
2,129.91,103.79,26.13,0,211.52,606.17,60.59
3,127.64,100.34,27.3,0,192.55,520.41,65.73
4,94.54,70.17,24.37,0,130.62,312.8,146.15
5,109.21,82.78,26.43,0,159.09,382.64,74.91
6,98.46,74.24,24.22,0,124.18,260.65,117.87
7,96.79,72.03,24.76,0,118.14,175.47,89.72
8,87.93,65.35,22.58,0,107.46,193.69,114.57
9,79.1,56.8,22.29,0,103.08,189.8,93.22
10,100.82,74.88,25.95,0,118.18,222.8,127.26
11,103.84,80.46,23.38,0,138.86,287.05,56.14
12,118.96,92.91,26.06,0,184.14,504.98,49.77
Total,1286.52,984.02,302.52,0,1788.84,4146.74,1027.24
