Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,179.16,159.97,19.19,0,197.03,490.28,31.31
2,160.16,143.65,16.51,0,211.7,606.17,60.59
3,159.21,141.14,18.07,0,195.77,520.41,65.73
4,86.65,71.38,15.27,0,106.06,312.8,146.15
5,124.3,108.95,15.35,0,144.99,382.64,74.91
6,111.52,94.98,16.55,0,111.46,260.65,117.87
7,131.5,111.08,20.42,0,120.03,175.47,89.72
8,112.41,94.83,17.58,0,104.61,193.69,114.57
9,123.72,104.34,19.38,0,118.5,189.8,93.22
10,124.84,104.48,20.36,0,120.89,222.8,127.26
11,117.29,103.73,13.55,0,122.17,287.05,56.14
12,153.69,137.95,15.74,0,186.12,504.98,49.77
Total,1584.45,1376.48,207.97,0,1739.33,4146.74,1027.24
