Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,125.46,98.74,26.72,0,106.02,474.01,470.16
2,140.86,118.3,22.56,0,133.04,543.74,371.28
3,142.86,115.24,27.63,0,130.25,567.52,483.32
4,148.98,123.76,25.22,0,134.92,544.36,403.48
5,130.55,101.11,29.44,0,116.33,445.37,453.83
6,148.5,127.09,21.41,0,140.66,431.48,223.75
7,154.89,133.9,20.99,0,150.66,461.03,209.66
8,181.0,161.94,19.07,0,184.47,532.53,131.2
9,151.58,130.41,21.17,0,147.03,349.64,145.62
10,146.99,126.78,20.21,0,143.72,438.56,207.49
11,158.24,135.95,22.28,0,152.79,445.79,209.62
12,109.32,80.14,29.18,0,90.63,454.01,560.54
Total,1739.23,1453.36,285.88,0,1630.52,5688.04,3869.95
