Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,70.4,53.2,17.2,0,70.14,474.01,470.16
2,96.85,75.77,21.08,0,98.08,543.74,371.28
3,91.72,70.67,21.05,0,93.48,567.52,483.32
4,91.75,72.29,19.46,0,95.65,544.36,403.48
5,63.82,46.67,17.15,0,65.82,445.37,453.83
6,88.3,70.8,17.49,0,99.8,431.48,223.75
7,106.25,87.53,18.72,0,115.68,461.03,209.66
8,118.31,102.3,16.01,0,137.6,532.53,131.2
9,83.84,67.83,16.01,0,93.27,349.64,145.62
10,98.96,80.53,18.43,0,111.21,438.56,207.49
11,100.45,82.23,18.23,0,111.43,445.79,209.62
12,68.52,48.46,20.06,0,66.37,454.01,560.54
Total,1079.17,858.28,220.89,0,1158.53,5688.04,3869.95
