Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,181.4,162.79,18.61,0,145.66,379.69,122.84
2,158.54,143.47,15.07,0,145.07,365.3,77.64
3,187.19,167.66,19.53,0,171.25,405.84,112.14
4,160.88,145.48,15.39,0,149.05,399.42,100.56
5,189.21,171.51,17.7,0,181.84,493.22,115.26
6,166.54,150.06,16.48,0,152.16,422.03,131.56
7,190.38,172.65,17.73,0,168.16,389.31,68.63
8,201.13,184.38,16.75,0,174.37,416.01,47.82
9,197.78,180.5,17.29,0,178.8,423.85,47.28
10,208.09,191.29,16.81,0,191.15,457.09,21.74
11,198.96,183.61,15.35,0,175.07,450.57,51.83
12,212.52,195.98,16.54,0,184.81,463.14,46.26
Total,2252.62,2049.38,203.25,0,2017.39,5065.47,943.56
