Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,151.2,125.12,26.08,0,158.13,379.69,122.84
2,136.13,112.5,23.64,0,150.66,365.3,77.64
3,134.56,111.26,23.3,0,155.52,405.84,112.14
4,132.23,109.43,22.8,0,155.87,399.42,100.56
5,162.63,138.48,24.15,0,180.35,493.22,115.26
6,121.27,99.81,21.46,0,146.86,422.03,131.56
7,151.78,126.47,25.3,0,173.02,389.31,68.63
8,162.42,139.02,23.4,0,172.63,416.01,47.82
9,152.71,129.75,22.96,0,175.44,423.85,47.28
10,177.02,151.42,25.59,0,197.34,457.09,21.74
11,148.71,127.75,20.96,0,173.07,450.57,51.83
12,173.05,148.85,24.21,0,189.12,463.14,46.26
Total,1803.71,1519.86,283.85,0,2028.01,5065.47,943.56
