Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,120.96,102.97,17.99,0,124.04,495.54,194.59
2,73.9,53.8,20.1,0,71.2,485.47,472.7
3,77.09,54.07,23.02,0,68.34,442.95,495.22
4,42.55,21.88,20.67,0,34.38,398.37,1018.85
5,54.68,34.14,20.54,0,46.15,377.75,508.8
6,42.55,26.36,16.19,0,40.08,328.19,784.28
7,32.65,14.52,18.13,0,25.2,273.47,621.87
8,33.63,17.17,16.46,0,24.37,323.86,885.61
9,35.89,19.1,16.79,0,25.41,316.04,881.22
10,35.61,19.78,15.82,0,26.81,340.19,642.6
11,57.71,41.54,16.17,0,51.86,340.81,376.38
12,80.87,60.95,19.92,0,84.3,427.73,327.94
Total,688.09,466.28,221.8,0,622.14,4550.37,7210.06
