Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,163.18,136.78,26.4,0,163.47,495.54,194.59
2,107.33,76.72,30.61,0,105.65,485.47,472.7
3,109.69,78.89,30.8,0,95.43,442.95,495.22
4,63.83,32.48,31.35,0,45.43,398.37,1018.85
5,83.3,54.98,28.31,0,70.41,377.75,508.8
6,66.19,41.19,25.01,0,60.2,328.19,784.28
7,56.45,27.15,29.31,0,45.67,273.47,621.87
8,48.83,21.55,27.29,0,29.23,323.86,885.61
9,56.16,26.5,29.66,0,37.59,316.04,881.22
10,56.58,29.84,26.74,0,44.4,340.19,642.6
11,83.33,56.04,27.29,0,83.81,340.81,376.38
12,117.67,90.58,27.09,0,115.79,427.73,327.94
Total,1012.54,672.7,339.86,0,897.08,4550.37,7210.06
