Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,193.4,171.2,22.2,0,162.77,495.54,194.59
2,124.05,96.8,27.25,0,104.2,485.47,472.7
3,127.31,97.75,29.56,0,95.1,442.95,495.22
4,67.82,35.13,32.7,0,40.96,398.37,1018.85
5,92.11,65.03,27.08,0,63.92,377.75,508.8
6,96.94,70.04,26.91,0,69.82,328.19,784.28
7,63.22,33.89,29.34,0,39.25,273.47,621.87
8,60.81,27.93,32.89,0,29.5,323.86,885.61
9,74.59,43.44,31.15,0,39.19,316.04,881.22
10,81.95,48.94,33.01,0,49.21,340.19,642.6
11,94.69,70.69,24.0,0,75.49,340.81,376.38
12,131.65,108.13,23.52,0,111.42,427.73,327.94
Total,1208.54,868.97,339.61,0,880.83,4550.37,7210.06
