Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,171.22,149.62,21.6,0,144.44,360.28,146.15
2,173.44,155.05,18.38,0,160.54,359.84,74.91
3,148.26,129.73,18.53,0,134.86,317.65,117.87
4,156.34,138.96,17.38,0,142.08,329.84,89.72
5,141.29,122.14,19.15,0,123.92,246.61,114.57
6,144.84,126.37,18.46,0,134.2,265.55,93.22
7,151.3,130.53,20.77,0,136.97,275.59,127.26
8,153.49,138.85,14.65,0,138.34,336.99,56.14
9,173.88,156.77,17.11,0,165.94,384.96,49.77
10,191.39,173.82,17.57,0,173.51,392.29,38.31
11,172.72,156.15,16.57,0,159.26,342.28,30.55
12,201.42,181.63,19.79,0,186.13,419.11,52.56
Total,1979.59,1759.62,219.96,0,1800.19,4030.99,991.03
