Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,139.48,121.04,18.45,0,134.26,360.28,146.15
2,153.33,135.61,17.72,0,151.89,359.84,74.91
3,131.08,113.69,17.39,0,132.88,317.65,117.87
4,147.9,129.35,18.55,0,144.52,329.84,89.72
5,115.28,98.53,16.76,0,111.53,246.61,114.57
6,124.07,106.62,17.45,0,119.82,265.55,93.22
7,123.53,105.6,17.94,0,120.68,275.59,127.26
8,161.39,142.03,19.37,0,159.77,336.99,56.14
9,162.42,144.56,17.86,1,163.58,384.96,49.77
10,165.55,147.93,17.62,0,167.38,392.29,38.31
11,148.42,132.16,16.26,1,149.7,342.28,30.55
12,167.52,150.33,17.19,0,171.96,419.11,52.56
Total,1739.97,1527.45,212.56,2,1727.97,4030.99,991.03
