Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,167.92,152.18,15.74,0,145.68,360.28,146.15
2,182.55,165.19,17.35,0,168.96,359.84,74.91
3,171.54,154.39,17.15,0,154.22,317.65,117.87
4,153.42,139.8,13.62,0,140.13,329.84,89.72
5,139.64,125.32,14.32,0,122.89,246.61,114.57
6,171.78,152.14,19.65,0,155.83,265.55,93.22
7,145.75,131.17,14.58,0,130.87,275.59,127.26
8,183.73,165.94,17.79,0,168.41,336.99,56.14
9,186.86,170.48,16.38,0,173.59,384.96,49.77
10,179.04,163.01,16.03,0,173.61,392.29,38.31
11,168.19,153.59,14.6,0,154.43,342.28,30.55
12,194.28,177.43,16.85,0,184.55,419.11,52.56
Total,2044.7,1850.64,194.06,0,1873.17,4030.99,991.03
