Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,159.05,125.88,33.17,0,179.39,360.28,146.15
2,161.67,128.9,32.77,0,189.48,359.84,74.91
3,149.21,115.54,33.67,0,173.01,317.65,117.87
4,172.34,138.47,33.87,0,191.53,329.84,89.72
5,137.73,104.84,32.89,0,162.0,246.61,114.57
6,145.71,112.24,33.47,0,176.16,265.55,93.22
7,135.84,103.9,31.94,0,164.47,275.59,127.26
8,149.33,116.58,32.76,0,183.08,336.99,56.14
9,191.98,157.5,34.48,0,213.23,384.96,49.77
10,188.44,153.3,35.15,0,217.54,392.29,38.31
11,165.34,135.9,29.44,0,188.25,342.28,30.55
12,198.96,164.25,34.72,0,223.48,419.11,52.56
Total,1955.6,1557.3,398.33,0,2261.62,4030.99,991.03
