Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,177.05,157.58,19.47,0,142.05,276.67,192.65
2,129.09,114.31,14.77,0,114.48,230.76,427.39
3,121.08,106.11,14.97,0,114.08,224.23,480.75
4,96.81,81.85,14.96,0,92.21,187.52,1040.26
5,109.9,94.7,15.2,0,99.69,190.98,491.04
6,103.16,86.83,16.33,0,92.77,152.1,818.39
7,109.48,93.47,16.01,0,95.69,143.92,646.09
8,97.27,81.41,15.86,0,89.12,148.12,842.99
9,106.5,91.86,14.64,0,88.39,164.7,803.42
10,113.34,97.33,16.02,0,91.52,139.95,763.58
11,136.12,118.85,17.27,0,117.76,171.59,365.98
12,133.58,117.07,16.51,0,117.66,214.37,330.3
Total,1433.38,1241.37,192.01,0,1255.42,2244.91,7202.84
