Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,117.66,99.1,18.55,0,113.24,276.67,192.65
2,72.46,53.33,19.13,0,76.49,230.76,427.39
3,66.66,48.41,18.25,0,62.03,224.23,480.75
4,46.92,27.95,18.97,0,37.43,187.52,1040.26
5,56.01,38.2,17.8,0,54.4,190.98,491.04
6,61.83,41.78,20.05,0,55.05,152.1,818.39
7,41.23,22.41,18.81,0,30.42,143.92,646.09
8,42.45,22.08,20.37,0,33.42,148.12,842.99
9,46.83,25.52,21.3,0,33.61,164.7,803.42
10,39.19,21.06,18.13,0,27.99,139.95,763.58
11,59.43,43.16,16.28,0,54.52,171.59,365.98
12,75.58,57.44,18.14,0,75.32,214.37,330.3
Total,726.25,500.44,225.78,0,653.92,2244.91,7202.84
