Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,107.93,82.18,25.74,0,111.97,276.67,192.65
2,44.95,20.76,24.19,0,43.63,230.76,427.39
3,51.71,24.43,27.28,0,44.08,224.23,480.75
4,33.14,7.81,25.33,0,17.18,187.52,1040.26
5,39.08,14.36,24.72,0,24.6,190.98,491.04
6,38.65,16.23,22.42,0,26.44,152.1,818.39
7,41.87,15.44,26.43,0,28.45,143.92,646.09
8,29.94,6.54,23.4,0,11.68,148.12,842.99
9,36.91,8.82,28.09,0,14.99,164.7,803.42
10,32.42,8.07,24.35,0,15.08,139.95,763.58
11,55.22,30.48,24.74,0,50.4,171.59,365.98
12,61.47,36.41,25.05,0,60.89,214.37,330.3
Total,573.29,271.53,301.74,0,449.39,2244.91,7202.84
