Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,189.47,172.95,16.53,0,160.36,474.01,117.54
2,210.54,194.68,15.86,0,189.26,543.74,92.82
3,219.39,201.71,17.68,0,196.96,567.52,120.83
4,206.59,188.82,17.78,0,196.97,544.36,100.87
5,191.76,173.66,18.1,0,172.57,445.37,113.46
6,189.8,173.8,16.0,0,172.37,431.48,55.94
7,185.29,170.96,14.32,0,171.48,461.03,52.42
8,212.11,197.16,14.94,0,195.84,532.53,32.8
9,174.07,158.53,15.54,0,155.78,349.64,36.4
10,180.67,165.91,14.76,0,167.64,438.56,51.87
11,175.49,162.29,13.2,0,161.35,445.79,52.41
12,167.96,151.34,16.63,0,159.51,454.01,140.13
Total,2303.14,2111.81,191.34,0,2100.09,5688.04,967.49
