Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,193.15,176.53,16.62,0,168.03,474.01,117.54
2,209.69,193.53,16.16,0,195.43,543.74,92.82
3,214.03,198.18,15.85,0,194.29,567.52,120.83
4,200.84,186.06,14.78,0,187.47,544.36,100.87
5,182.25,167.34,14.91,0,164.74,445.37,113.46
6,185.91,170.26,15.64,0,173.88,431.48,55.94
7,198.36,181.52,16.83,0,188.38,461.03,52.42
8,221.68,204.0,17.68,0,212.36,532.53,32.8
9,195.33,178.02,17.31,0,168.79,349.64,36.4
10,194.94,179.0,15.95,0,179.1,438.56,51.87
11,196.59,180.8,15.79,0,179.47,445.79,52.41
12,183.15,168.59,14.56,0,163.16,454.01,140.13
Total,2375.92,2183.83,192.08,0,2175.1,5688.04,967.49
