Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,69.09,51.41,17.68,0,47.54,258.78,295.89
2,67.94,51.19,16.76,0,47.6,300.73,447.46
3,44.72,26.77,17.95,0,27.96,234.1,343.63
4,36.64,17.91,18.73,0,17.48,238.69,496.27
5,49.45,28.05,21.4,0,25.22,245.2,558.76
6,54.97,36.94,18.03,0,38.19,234.18,324.37
7,94.74,82.61,12.12,0,80.2,355.08,187.22
8,165.87,154.78,11.09,0,156.0,678.23,185.24
9,141.35,130.9,10.45,0,124.48,426.82,89.72
10,130.47,119.16,11.31,0,130.79,551.51,170.78
11,121.51,106.68,14.83,0,115.86,536.72,244.13
12,123.05,109.08,13.96,0,117.43,503.75,215.77
Total,1099.8,915.48,184.31,0,928.75,4563.79,3559.24
