Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,88.4,61.52,26.88,0,89.64,258.78,295.89
2,82.78,57.93,24.85,0,75.49,300.73,447.46
3,67.7,41.93,25.77,0,62.41,234.1,343.63
4,64.52,36.0,28.52,0,57.83,238.69,496.27
5,69.16,38.65,30.51,0,50.63,245.2,558.76
6,66.88,42.15,24.73,0,61.75,234.18,324.37
7,123.29,98.05,25.24,0,127.14,355.08,187.22
8,167.02,143.88,23.14,0,184.69,678.23,185.24
9,170.75,144.78,25.97,0,174.98,426.82,89.72
10,154.21,129.56,24.65,0,171.48,551.51,170.78
11,136.15,110.29,25.86,0,155.74,536.72,244.13
12,139.53,112.73,26.8,0,160.59,503.75,215.77
Total,1330.39,1017.47,312.92,0,1372.37,4563.79,3559.24
