Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,110.63,85.41,25.22,0,92.88,258.78,295.89
2,88.93,63.62,25.3,0,72.08,300.73,447.46
3,90.28,66.34,23.94,0,74.22,234.1,343.63
4,60.96,37.01,23.96,0,41.63,238.69,496.27
5,61.52,35.73,25.79,0,38.96,245.2,558.76
6,90.22,65.52,24.7,0,72.49,234.18,324.37
7,128.78,108.9,19.88,0,124.67,355.08,187.22
8,198.86,178.67,20.19,0,204.09,678.23,185.24
9,163.13,145.51,17.62,0,165.17,426.82,89.72
10,179.19,158.24,20.94,0,182.37,551.51,170.78
11,167.93,143.99,23.95,0,162.71,536.72,244.13
12,157.57,135.0,22.57,0,152.72,503.75,215.77
Total,1498.0,1223.94,274.06,0,1383.99,4563.79,3559.24
