Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,116.62,91.71,24.9,0,82.18,258.78,295.89
2,114.18,87.92,26.26,0,84.13,300.73,447.46
3,98.31,71.93,26.38,0,72.64,234.1,343.63
4,77.85,51.25,26.6,0,55.29,238.69,496.27
5,66.32,38.12,28.2,0,39.44,245.2,558.76
6,93.16,67.74,25.42,0,67.73,234.18,324.37
7,151.8,132.03,19.77,0,123.38,355.08,187.22
8,213.18,195.97,17.2,0,193.48,678.23,185.24
9,193.68,174.55,19.14,0,173.07,426.82,89.72
10,179.49,160.71,18.78,0,176.13,551.51,170.78
11,171.64,148.71,22.92,0,164.32,536.72,244.13
12,173.96,152.57,21.4,0,160.4,503.75,215.77
Total,1650.19,1373.21,276.97,0,1392.19,4563.79,3559.24
