Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,94.76,80.01,14.75,0,70.34,294.79,218.81
2,73.28,54.49,18.79,0,48.93,284.76,400.1
3,46.76,28.58,18.19,0,31.4,283.52,473.07
4,42.06,20.91,21.15,0,21.94,251.69,1038.69
5,39.23,21.48,17.75,0,23.17,244.76,543.87
6,40.77,25.33,15.44,0,26.65,237.76,815.82
7,46.67,27.14,19.53,0,25.66,228.2,637.17
8,35.99,21.54,14.45,0,21.81,225.76,738.61
9,37.09,16.63,20.46,0,17.76,209.29,681.24
10,33.7,17.18,16.52,0,18.3,216.03,918.77
11,51.57,35.03,16.54,0,33.39,231.46,372.91
12,60.01,41.63,18.37,0,39.64,246.47,329.16
Total,601.89,389.95,211.94,0,378.99,2954.49,7168.22
