Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,184.97,166.3,18.67,0,146.71,276.67,27.52
2,138.14,120.73,17.41,0,130.48,230.76,61.06
3,136.22,120.17,16.05,0,118.41,224.23,68.68
4,94.58,76.69,17.88,0,91.89,187.52,148.61
5,118.97,103.18,15.79,0,106.89,190.98,70.15
6,120.83,102.43,18.39,0,97.91,152.1,116.91
7,118.54,100.74,17.8,0,99.46,143.92,92.3
8,126.15,105.93,20.22,0,105.04,148.12,120.43
9,113.63,95.72,17.91,0,98.8,164.7,114.77
10,110.27,91.87,18.4,0,93.6,139.95,109.08
11,137.35,120.44,16.92,0,112.41,171.59,52.28
12,130.16,116.35,13.81,0,111.0,214.37,47.19
Total,1529.81,1320.55,209.25,0,1312.6,2244.91,1028.98
