Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,133.23,109.37,23.87,0,146.71,276.67,27.52
2,94.88,73.01,21.87,0,121.3,230.76,61.06
3,96.53,74.41,22.11,0,119.82,224.23,68.68
4,76.82,54.11,22.71,0,90.43,187.52,148.61
5,92.29,68.43,23.86,0,117.16,190.98,70.15
6,86.15,62.64,23.51,0,95.58,152.1,116.91
7,83.82,62.21,21.61,0,92.06,143.92,92.3
8,73.56,51.79,21.77,0,86.66,148.12,120.43
9,81.32,58.6,22.73,0,94.52,164.7,114.77
10,96.65,70.35,26.3,0,105.48,139.95,109.08
11,96.82,73.61,23.2,0,117.0,171.59,52.28
12,101.73,79.32,22.41,0,119.94,214.37,47.19
Total,1113.8,837.85,275.95,0,1306.66,2244.91,1028.98
