Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,145.13,128.52,16.61,0,135.14,276.67,27.52
2,134.09,116.29,17.81,0,132.1,230.76,61.06
3,123.9,107.2,16.7,0,121.74,224.23,68.68
4,104.53,85.77,18.76,0,98.19,187.52,148.61
5,112.66,96.8,15.86,0,107.33,190.98,70.15
6,117.29,96.62,20.66,0,109.39,152.1,116.91
7,106.21,88.42,17.79,0,100.77,143.92,92.3
8,102.33,83.8,18.54,0,92.64,148.12,120.43
9,94.02,78.29,15.73,0,87.88,164.7,114.77
10,98.4,80.46,17.94,0,90.29,139.95,109.08
11,121.51,104.12,17.39,0,116.18,171.59,52.28
12,133.56,115.78,17.78,0,130.87,214.37,47.19
Total,1393.63,1182.07,211.57,0,1322.52,2244.91,1028.98
