Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,114.68,84.55,30.13,0,82.24,379.69,491.37
2,124.65,102.32,22.33,0,100.01,365.3,310.55
3,121.67,97.6,24.07,0,94.23,405.84,448.56
4,100.04,77.83,22.2,0,83.7,399.42,402.24
5,117.17,92.07,25.1,0,100.98,493.22,461.02
6,105.19,77.67,27.52,0,75.15,422.03,526.24
7,148.08,124.86,23.22,0,121.88,389.31,274.53
8,162.03,141.51,20.52,0,139.0,416.01,191.3
9,176.52,155.58,20.94,0,148.19,423.85,189.1
10,209.66,190.59,19.07,0,181.58,457.09,86.94
11,164.91,144.56,20.35,0,147.33,450.57,207.33
12,159.83,141.13,18.7,0,141.21,463.14,185.03
Total,1704.43,1430.27,274.15,0,1415.5,5065.47,3774.21
