Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,111.98,81.21,30.77,0,87.36,379.69,491.37
2,126.35,101.72,24.63,0,112.0,365.3,310.55
3,105.52,81.59,23.93,0,93.11,405.84,448.56
4,111.16,86.88,24.29,0,93.4,399.42,402.24
5,114.52,89.17,25.34,0,103.06,493.22,461.02
6,88.03,60.6,27.44,0,69.35,422.03,526.24
7,118.72,98.0,20.71,0,107.43,389.31,274.53
8,140.9,120.86,20.03,0,135.09,416.01,191.3
9,138.09,119.21,18.88,0,134.11,423.85,189.1
10,167.86,150.63,17.23,0,170.16,457.09,86.94
11,157.18,135.65,21.52,0,157.14,450.57,207.33
12,147.5,129.09,18.4,0,145.04,463.14,185.03
Total,1527.81,1254.61,273.17,0,1407.25,5065.47,3774.21
