Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,219.53,202.71,16.81,0,187.97,495.54,27.8
2,191.53,177.05,14.48,0,175.55,485.47,67.53
3,174.59,159.57,15.02,0,165.29,442.95,70.75
4,154.6,138.17,16.44,0,141.79,398.37,145.55
5,172.59,155.87,16.73,0,156.76,377.75,72.69
6,157.69,140.04,17.65,0,139.88,328.19,112.04
7,150.66,133.43,17.23,0,130.07,273.47,88.84
8,158.69,140.73,17.97,0,138.52,323.86,126.52
9,153.62,135.16,18.46,0,136.32,316.04,125.89
10,162.08,145.31,16.76,0,143.12,340.19,91.8
11,175.18,158.25,16.93,0,155.27,340.81,53.77
12,198.7,182.04,16.66,0,177.85,427.73,46.85
Total,2069.46,1868.33,201.14,0,1848.39,4550.37,1030.03
