Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,178.87,155.13,23.74,0,191.09,495.54,27.8
2,168.99,145.51,23.48,0,188.44,485.47,67.53
3,160.45,136.56,23.89,0,180.04,442.95,70.75
4,134.6,112.58,22.02,0,148.26,398.37,145.55
5,149.5,124.13,25.37,0,167.46,377.75,72.69
6,126.92,101.35,25.57,0,149.39,328.19,112.04
7,110.71,87.23,23.48,0,130.84,273.47,88.84
8,119.49,96.02,23.47,0,138.29,323.86,126.52
9,128.88,102.59,26.3,0,148.99,316.04,125.89
10,137.84,113.17,24.67,0,153.87,340.19,91.8
11,133.34,108.98,24.37,0,155.64,340.81,53.77
12,172.36,146.95,25.41,0,185.74,427.73,46.85
Total,1721.95,1430.2,291.77,0,1938.05,4550.37,1030.03
