Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,171.53,155.72,15.81,0,186.48,495.54,27.8
2,159.66,143.29,16.36,0,177.5,485.47,67.53
3,167.49,149.32,18.17,0,179.55,442.95,70.75
4,131.17,114.28,16.89,0,148.12,398.37,145.55
5,148.19,130.68,17.51,0,157.24,377.75,72.69
6,127.04,109.78,17.25,0,143.47,328.19,112.04
7,121.39,104.53,16.87,0,127.77,273.47,88.84
8,125.52,108.52,17.0,0,135.86,323.86,126.52
9,127.93,109.32,18.61,0,135.83,316.04,125.89
10,133.4,116.75,16.65,0,141.76,340.19,91.8
11,133.67,117.19,16.49,0,150.28,340.81,53.77
12,164.44,147.2,17.23,0,173.33,427.73,46.85
Total,1711.43,1506.58,204.84,0,1857.19,4550.37,1030.03
