Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,231.22,212.7,18.52,0,198.03,495.54,27.8
2,213.3,196.38,16.92,0,191.77,485.47,67.53
3,186.22,171.24,14.98,0,171.21,442.95,70.75
4,173.27,157.57,15.7,0,155.95,398.37,145.55
5,179.04,164.86,14.18,0,152.58,377.75,72.69
6,149.4,135.33,14.07,0,136.48,328.19,112.04
7,153.68,138.24,15.44,0,131.83,273.47,88.84
8,143.69,130.07,13.62,0,129.19,323.86,126.52
9,168.27,152.7,15.57,0,139.94,316.04,125.89
10,171.47,155.22,16.25,0,151.52,340.19,91.8
11,169.75,153.46,16.29,0,157.18,340.81,53.77
12,193.43,177.31,16.11,0,178.13,427.73,46.85
Total,2132.74,1945.08,187.65,0,1893.81,4550.37,1030.03
