Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,50.87,30.78,20.1,0,26.91,227.75,546.08
2,41.46,23.51,17.95,0,24.55,218.6,357.84
3,49.24,31.61,17.63,0,29.78,213.73,485.54
4,45.32,30.4,14.91,0,28.78,232.65,305.55
5,32.2,17.28,14.92,0,19.43,222.37,455.78
6,28.47,10.23,18.24,0,11.61,216.53,386.94
7,27.27,10.75,16.52,0,11.75,217.32,522.22
8,70.01,54.43,15.58,0,50.26,235.82,237.0
9,66.01,54.41,11.6,0,54.06,262.05,202.0
10,78.06,66.74,11.32,0,63.8,279.3,177.15
11,103.76,95.04,8.71,0,89.09,309.62,82.67
12,68.4,54.07,14.33,0,54.55,264.11,239.62
Total,661.07,479.25,181.81,0,464.57,2899.85,3998.39
