Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,64.13,36.84,27.29,0,48.21,227.75,546.08
2,48.19,26.21,21.97,0,46.49,218.6,357.84
3,61.49,35.95,25.55,0,59.87,213.73,485.54
4,65.44,41.85,23.59,0,68.29,232.65,305.55
5,58.7,35.37,23.33,0,51.64,222.37,455.78
6,43.74,21.63,22.11,0,40.67,216.53,386.94
7,51.58,25.05,26.53,0,37.09,217.32,522.22
8,70.32,47.15,23.17,0,78.96,235.82,237.0
9,85.88,61.45,24.42,0,96.73,262.05,202.0
10,100.82,76.68,24.14,0,108.47,279.3,177.15
11,129.75,102.0,27.76,0,147.18,309.62,82.67
12,106.02,79.26,26.75,0,110.39,264.11,239.62
Total,886.06,589.44,296.61,0,893.99,2899.85,3998.39
